"Deep Dive: Building a robust accessibility toolbox with The Forest CathedralIdeally, accessibility is a primary design goal, not an afterthought. Here's how playtesting helped Whitethorn Games refine the process.","Dec 12, 2022",by Brian Wilson Contributor,Game developer,https://www.gamedeveloper.com/design/deep-dive-designing-for-accessibility-in-the-forest-cathedral,"Ideally, accessibility is a primary design goal, not an afterthought. Here's how playtesting helped Whitethorn Games refine the process."
How McPixel 3 incentivized failure by being funnyAdding comedy to the mix makes doing the wrong thing in McPixel 3 feel so right.,"Nov 29, 2022",by Joel Couture Contributor,Game developer,https://www.gamedeveloper.com/design/how-i-mcpixel-3-i-incentivized-failure-by-being-funny,Adding comedy to the mix makes doing the wrong thing in McPixel 3 feel so right.
What can technical artists learn from testing 'shader myths'Tried-and-tested tech art tricks for making splendid shaders could always use a little jolt of reality.,"Nov 08, 2022",by Bryant Francis Senior Editor,Game developer,https://www.gamedeveloper.com/art/here-s-what-you-get-from-testing-myths-in-tech-art,Tried-and-tested tech art tricks for making splendid shaders could always use a little jolt of reality.
"The design and philosophy behind ephemeral game exhibition HYPER//ECHO""Remember, none of this lasts forever. Nothing ever did.""","Jun 21, 2022",by Chris Kerr News Editor,Game developer,https://www.gamedeveloper.com/design/the-design-and-philosophy-behind-ephemeral-video-game-exhibition-hyper-echo,"""Remember, none of this lasts forever. Nothing ever did."""
"The AR-inspired horror of Beyond the Phone Screen""Having monsters that have to be dealt with in different ways that require you to stop moving and fiddle with your phone was the core for the 'difficulty' of survival...it created this frantic anxiety whenever the player heard a monster that required a fast visit to the menu.""","Oct 26, 2021",by Joel Couture Contributor,Game developer,https://www.gamedeveloper.com/design/the-ar-inspired-horror-of-beyond-the-phone-screen,"""Having monsters that have to be dealt with in different ways that require you to stop moving and fiddle with your phone was the core for the 'difficulty' of survival...it created this frantic anxiety whenever the player heard a monster that required a fast visit to the menu."""
"Animating Retropolis: An Art Directors RetrospectA retrospect on the art direction and production of The Secret of Retropolis, a VR take on the point & click genre, drawn and animated in VR. I talk about the design and modeling process, utilization of VR, pipeline construction, and animation.","Aug 17, 2021",by Daniel Ho Community Blogger,Game developer,https://www.gamedeveloper.com/design/animating-retropolis-an-art-directors-retrospect,"A retrospect on the art direction and production of The Secret of Retropolis, a VR take on the point & click genre, drawn and animated in VR. I talk about the design and modeling process, utilization of VR, pipeline construction, and animation."
How rigorous testing helped to improve Scavengers' gameplaySponsored: Discover how a tactical collaboration empowered Midwinter Entertainment to focus on what they do best.,"Jun 25, 2021",by Game Developer Staff,Game developer,https://www.gamedeveloper.com/design/how-rigorous-testing-helped-to-improve-i-scavengers-i-gameplay,Sponsored: Discover how a tactical collaboration empowered Midwinter Entertainment to focus on what they do best.
"Get a job: Treyarch is hiring a Senior Test Automation EngineerTreyarch, the studio behind the best-selling Call of Duty – Black Ops franchise is seeking a passionate Senior Test Automation Engineer to help us take our cutting-edge games to the next level.","Jun 10, 2021",NONE,Game developer,https://www.gamedeveloper.com/programming/get-a-job-treyarch-is-hiring-a-senior-test-automation-engineer,"Treyarch, the studio behind the best-selling Call of Duty – Black Ops franchise is seeking a passionate Senior Test Automation Engineer to help us take our cutting-edge games to the next level."
Step-by-step: Programming IncrementallyPrograming by making small incremental changes.,"May 24, 2021",by Niklas Gray Blogger,Game developer,https://www.gamedeveloper.com/programming/step-by-step-programming-incrementally,Programing by making small incremental changes.
A Table-Top Feel: Designing Unexplored 2's Fortune System To Replace Virtual Dice RollingAn in-depth look at how we designed the 'Fortune System' for Unexplored 2. This mechanic is our equivalent of dice rolls in table-top RPGs: we tried to make it as exiting and engaging as grabbing and rolling a handful of dice can be in that context.,"May 21, 2021",by Joris Dormans Blogger,Game developer,https://www.gamedeveloper.com/design/a-table-top-feel-designing-unexplored-2-s-fortune-system-to-replace-virtual-dice-rolling,An in-depth look at how we designed the 'Fortune System' for Unexplored 2. This mechanic is our equivalent of dice rolls in table-top RPGs: we tried to make it as exiting and engaging as grabbing and rolling a handful of dice can be in that context.
